Year,Zone,Sex,Agegroup,Population,Prevalence,Crude Prevalence Rate
01/01/2007 12:00:00 AM,Unknown,M,40 to 49,"6,294",137,2.18
01/01/2007 12:00:00 AM,Unknown,M,50 to 59,"4,699",344,7.32
01/01/2007 12:00:00 AM,Unknown,M,60 to 69,"3,012",521,17.3
01/01/2007 12:00:00 AM,Unknown,M,70 to 79,"1,532",474,30.94
01/01/2007 12:00:00 AM,Unknown,M,80 +,790,315,39.87
01/01/2007 12:00:00 AM,Western,F,20 to 29,"9,718",19,0.2
01/01/2007 12:00:00 AM,Western,F,30 to 39,"11,763",46,0.39
01/01/2007 12:00:00 AM,Western,F,40 to 49,"16,546",258,1.56
01/01/2007 12:00:00 AM,Western,F,50 to 59,"16,376",784,4.79
01/01/2007 12:00:00 AM,Western,F,60 to 69,"12,446","1,404",11.28
01/01/2007 12:00:00 AM,Western,F,70 to 79,"8,007","1,725",21.54
01/01/2007 12:00:00 AM,Western,F,80 +,"6,600","2,166",32.82
01/01/2007 12:00:00 AM,Western,M,20 to 29,"9,623",31,0.32
01/01/2007 12:00:00 AM,Western,M,30 to 39,"11,394",96,0.84
01/01/2007 12:00:00 AM,Western,M,40 to 49,"15,816",490,3.1
01/01/2007 12:00:00 AM,Western,M,50 to 59,"16,126","1,580",9.8
01/01/2007 12:00:00 AM,Western,M,60 to 69,"12,183","2,483",20.38
01/01/2007 12:00:00 AM,Western,M,70 to 79,"7,238","2,482",34.29
01/01/2007 12:00:00 AM,Western,M,80 +,"3,972","1,745",43.93
01/01/2008 12:00:00 AM,Central,F,20 to 29,"26,203",48,0.18
01/01/2008 12:00:00 AM,Central,F,30 to 39,"28,817",126,0.44
01/01/2008 12:00:00 AM,Central,F,40 to 49,"33,285",585,1.76
01/01/2008 12:00:00 AM,Central,F,50 to 59,"28,893","1,564",5.41
01/01/2008 12:00:00 AM,Central,F,60 to 69,"19,638","2,461",12.53
01/01/2008 12:00:00 AM,Central,F,70 to 79,"11,745","2,688",22.89
01/01/2008 12:00:00 AM,Central,F,80 +,"9,748","3,099",31.79
01/01/2008 12:00:00 AM,Central,M,20 to 29,"25,565",65,0.25
01/01/2008 12:00:00 AM,Central,M,30 to 39,"26,525",180,0.68
01/01/2008 12:00:00 AM,Central,M,40 to 49,"31,537",988,3.13
01/01/2008 12:00:00 AM,Central,M,50 to 59,"27,471","2,630",9.57
01/01/2008 12:00:00 AM,Central,M,60 to 69,"18,366","3,919",21.34
01/01/2008 12:00:00 AM,Central,M,70 to 79,"9,999","3,588",35.88
01/01/2008 12:00:00 AM,Central,M,80 +,"5,122","2,347",45.82
01/01/2008 12:00:00 AM,Eastern,F,20 to 29,"7,981",20,0.25
01/01/2008 12:00:00 AM,Eastern,F,30 to 39,"9,173",39,0.43
01/01/2008 12:00:00 AM,Eastern,F,40 to 49,"12,470",207,1.66
01/01/2008 12:00:00 AM,Eastern,F,50 to 59,"13,766",735,5.34
01/01/2008 12:00:00 AM,Eastern,F,60 to 69,"10,501","1,302",12.4
01/01/2008 12:00:00 AM,Eastern,F,70 to 79,"6,649","1,498",22.53
01/01/2008 12:00:00 AM,Eastern,F,80 +,"5,558","1,911",34.38
01/01/2008 12:00:00 AM,Eastern,M,20 to 29,"8,393",27,0.32
01/01/2008 12:00:00 AM,Eastern,M,30 to 39,"9,036",62,0.69
01/01/2008 12:00:00 AM,Eastern,M,40 to 49,"12,072",364,3.02
01/01/2008 12:00:00 AM,Eastern,M,50 to 59,"13,649","1,448",10.61
01/01/2008 12:00:00 AM,Eastern,M,60 to 69,"10,374","2,258",21.77
01/01/2008 12:00:00 AM,Eastern,M,70 to 79,"5,753","1,990",34.59
01/01/2008 12:00:00 AM,Eastern,M,80 +,"2,944","1,297",44.06
01/01/2008 12:00:00 AM,Northern,F,20 to 29,"7,803",19,0.24
01/01/2008 12:00:00 AM,Northern,F,30 to 39,"9,507",57,0.6
01/01/2008 12:00:00 AM,Northern,F,40 to 49,"11,934",212,1.78
01/01/2008 12:00:00 AM,Northern,F,50 to 59,"12,053",657,5.45
01/01/2008 12:00:00 AM,Northern,F,60 to 69,"8,987","1,192",13.26
01/01/2008 12:00:00 AM,Northern,F,70 to 79,"5,691","1,333",23.42
01/01/2008 12:00:00 AM,Northern,F,80 +,"4,941","1,696",34.33
01/01/2008 12:00:00 AM,Northern,M,20 to 29,"7,789",21,0.27
01/01/2008 12:00:00 AM,Northern,M,30 to 39,"9,196",74,0.8
01/01/2008 12:00:00 AM,Northern,M,40 to 49,"11,687",390,3.34
01/01/2008 12:00:00 AM,Northern,M,50 to 59,"12,054","1,221",10.13
01/01/2008 12:00:00 AM,Northern,M,60 to 69,"9,026","2,028",22.47
01/01/2008 12:00:00 AM,Northern,M,70 to 79,"4,991","1,735",34.76
01/01/2008 12:00:00 AM,Northern,M,80 +,"2,702","1,239",45.85
01/01/2008 12:00:00 AM,Unknown,F,20 to 29,"10,538",15,0.14
01/01/2008 12:00:00 AM,Unknown,F,30 to 39,"7,185",13,0.18
01/01/2008 12:00:00 AM,Unknown,F,40 to 49,"6,253",59,0.94
01/01/2008 12:00:00 AM,Unknown,F,50 to 59,"5,026",202,4.02
01/01/2008 12:00:00 AM,Unknown,F,60 to 69,"3,403",339,9.96
01/01/2008 12:00:00 AM,Unknown,F,70 to 79,"1,785",354,19.83
01/01/2008 12:00:00 AM,Unknown,F,80 +,"1,611",461,28.62
01/01/2008 12:00:00 AM,Unknown,M,20 to 29,"9,815",15,0.15
01/01/2008 12:00:00 AM,Unknown,M,30 to 39,"6,689",33,0.49
01/01/2008 12:00:00 AM,Unknown,M,40 to 49,"6,011",123,2.05
01/01/2008 12:00:00 AM,Unknown,M,50 to 59,"4,587",321,7
01/01/2008 12:00:00 AM,Unknown,M,60 to 69,"3,098",527,17.01
01/01/2008 12:00:00 AM,Unknown,M,70 to 79,"1,539",467,30.34
01/01/2008 12:00:00 AM,Unknown,M,80 +,798,321,40.23
01/01/2008 12:00:00 AM,Western,F,20 to 29,"9,775",13,0.13
01/01/2008 12:00:00 AM,Western,F,30 to 39,"11,535",53,0.46
01/01/2008 12:00:00 AM,Western,F,40 to 49,"16,270",244,1.5
01/01/2008 12:00:00 AM,Western,F,50 to 59,"16,629",764,4.59
01/01/2008 12:00:00 AM,Western,F,60 to 69,"13,044","1,443",11.06
01/01/2008 12:00:00 AM,Western,F,70 to 79,"8,205","1,794",21.86
01/01/2008 12:00:00 AM,Western,F,80 +,"6,724","2,236",33.25
01/01/2008 12:00:00 AM,Western,M,20 to 29,"9,747",28,0.29
01/01/2008 12:00:00 AM,Western,M,30 to 39,"11,158",94,0.84
01/01/2008 12:00:00 AM,Western,M,40 to 49,"15,533",452,2.91
01/01/2008 12:00:00 AM,Western,M,50 to 59,"16,298","1,567",9.61
01/01/2008 12:00:00 AM,Western,M,60 to 69,"12,848","2,628",20.45
01/01/2008 12:00:00 AM,Western,M,70 to 79,"7,402","2,559",34.57
01/01/2008 12:00:00 AM,Western,M,80 +,"4,082","1,823",44.66
01/01/2009 12:00:00 AM,Central,F,20 to 29,"26,730",48,0.18
01/01/2009 12:00:00 AM,Central,F,30 to 39,"29,139",134,0.46
01/01/2009 12:00:00 AM,Central,F,40 to 49,"33,293",554,1.66
01/01/2009 12:00:00 AM,Central,F,50 to 59,"29,881","1,551",5.19
01/01/2009 12:00:00 AM,Central,F,60 to 69,"20,573","2,550",12.39
01/01/2009 12:00:00 AM,Central,F,70 to 79,"12,001","2,673",22.27
01/01/2009 12:00:00 AM,Central,F,80 +,"9,822","3,144",32.01
01/01/2009 12:00:00 AM,Central,M,20 to 29,"26,401",61,0.23
01/01/2009 12:00:00 AM,Central,M,30 to 39,"26,872",183,0.68
01/01/2009 12:00:00 AM,Central,M,40 to 49,"31,579",921,2.92
01/01/2009 12:00:00 AM,Central,M,50 to 59,"28,361","2,603",9.18
01/01/2009 12:00:00 AM,Central,M,60 to 69,"19,318","4,129",21.37
01/01/2009 12:00:00 AM,Central,M,70 to 79,"10,224","3,652",35.72
01/01/2009 12:00:00 AM,Central,M,80 +,"5,318","2,442",45.92
01/01/2009 12:00:00 AM,Eastern,F,20 to 29,"8,065",22,0.27
01/01/2009 12:00:00 AM,Eastern,F,30 to 39,"9,088",45,0.5
01/01/2009 12:00:00 AM,Eastern,F,40 to 49,"12,145",205,1.69
01/01/2009 12:00:00 AM,Eastern,F,50 to 59,"13,904",753,5.42
01/01/2009 12:00:00 AM,Eastern,F,60 to 69,"10,833","1,304",12.04
01/01/2009 12:00:00 AM,Eastern,F,70 to 79,"6,790","1,540",22.68
01/01/2009 12:00:00 AM,Eastern,F,80 +,"5,595","1,919",34.3
01/01/2009 12:00:00 AM,Eastern,M,20 to 29,"8,424",27,0.32
01/01/2009 12:00:00 AM,Eastern,M,30 to 39,"9,024",70,0.78
01/01/2009 12:00:00 AM,Eastern,M,40 to 49,"11,819",348,2.94
01/01/2009 12:00:00 AM,Eastern,M,50 to 59,"13,620","1,398",10.26
01/01/2009 12:00:00 AM,Eastern,M,60 to 69,"10,904","2,390",21.92
01/01/2009 12:00:00 AM,Eastern,M,70 to 79,"5,921","2,059",34.77
01/01/2009 12:00:00 AM,Eastern,M,80 +,"2,995","1,341",44.77
01/01/2009 12:00:00 AM,Northern,F,20 to 29,"7,827",18,0.23
01/01/2009 12:00:00 AM,Northern,F,30 to 39,"9,421",62,0.66
01/01/2009 12:00:00 AM,Northern,F,40 to 49,"11,756",201,1.71
01/01/2009 12:00:00 AM,Northern,F,50 to 59,"12,253",681,5.56
01/01/2009 12:00:00 AM,Northern,F,60 to 69,"9,410","1,216",12.92
01/01/2009 12:00:00 AM,Northern,F,70 to 79,"5,786","1,356",23.44
01/01/2009 12:00:00 AM,Northern,F,80 +,"4,981","1,731",34.75
01/01/2009 12:00:00 AM,Northern,M,20 to 29,"7,930",24,0.3
01/01/2009 12:00:00 AM,Northern,M,30 to 39,"9,100",77,0.85
01/01/2009 12:00:00 AM,Northern,M,40 to 49,"11,550",385,3.33
01/01/2009 12:00:00 AM,Northern,M,50 to 59,"12,176","1,231",10.11
01/01/2009 12:00:00 AM,Northern,M,60 to 69,"9,521","2,135",22.42
01/01/2009 12:00:00 AM,Northern,M,70 to 79,"5,075","1,749",34.46
01/01/2009 12:00:00 AM,Northern,M,80 +,"2,750","1,260",45.82
01/01/2009 12:00:00 AM,Unknown,F,20 to 29,"10,190",19,0.19
01/01/2009 12:00:00 AM,Unknown,F,30 to 39,"6,760",14,0.21
01/01/2009 12:00:00 AM,Unknown,F,40 to 49,"6,071",56,0.92
