Year,Zone,Sex,Agegroup,Population,Prevalence,Crude Prevalence Rate
01/01/2012 12:00:00 AM,Western,M,75 +,"8,157","2,491",30.54
01/01/2013 12:00:00 AM,Central,F,35 to 44,"31,227",615,1.97
01/01/2013 12:00:00 AM,Central,F,45 to 54,"34,511","2,580",7.48
01/01/2013 12:00:00 AM,Central,F,55 to 64,"29,222","4,165",14.25
01/01/2013 12:00:00 AM,Central,F,65 to 74,"19,198","4,273",22.26
01/01/2013 12:00:00 AM,Central,F,75 +,"16,352","4,460",27.27
01/01/2013 12:00:00 AM,Central,M,35 to 44,"29,090",426,1.46
01/01/2013 12:00:00 AM,Central,M,45 to 54,"33,222","2,026",6.1
01/01/2013 12:00:00 AM,Central,M,55 to 64,"27,743","3,474",12.52
01/01/2013 12:00:00 AM,Central,M,65 to 74,"17,544","3,695",21.06
01/01/2013 12:00:00 AM,Central,M,75 +,"11,027","3,450",31.29
01/01/2013 12:00:00 AM,Eastern,F,35 to 44,"9,607",348,3.62
01/01/2013 12:00:00 AM,Eastern,F,45 to 54,"12,648","1,442",11.4
01/01/2013 12:00:00 AM,Eastern,F,55 to 64,"13,817","2,472",17.89
01/01/2013 12:00:00 AM,Eastern,F,65 to 74,"10,085","2,473",24.52
01/01/2013 12:00:00 AM,Eastern,F,75 +,"9,022","2,553",28.3
01/01/2013 12:00:00 AM,Eastern,M,35 to 44,"9,549",267,2.8
01/01/2013 12:00:00 AM,Eastern,M,45 to 54,"12,344","1,106",8.96
01/01/2013 12:00:00 AM,Eastern,M,55 to 64,"13,552","2,319",17.11
01/01/2013 12:00:00 AM,Eastern,M,65 to 74,"9,686","2,583",26.67
01/01/2013 12:00:00 AM,Eastern,M,75 +,"6,198","2,201",35.51
01/01/2013 12:00:00 AM,Northern,F,35 to 44,"10,022",210,2.1
01/01/2013 12:00:00 AM,Northern,F,45 to 54,"12,230","1,046",8.55
01/01/2013 12:00:00 AM,Northern,F,55 to 64,"12,179","1,917",15.74
01/01/2013 12:00:00 AM,Northern,F,65 to 74,"8,709","2,049",23.53
01/01/2013 12:00:00 AM,Northern,F,75 +,"7,847","2,280",29.06
01/01/2013 12:00:00 AM,Northern,M,35 to 44,"9,754",138,1.41
01/01/2013 12:00:00 AM,Northern,M,45 to 54,"12,000",789,6.58
01/01/2013 12:00:00 AM,Northern,M,55 to 64,"12,104","1,750",14.46
01/01/2013 12:00:00 AM,Northern,M,65 to 74,"8,565","1,916",22.37
01/01/2013 12:00:00 AM,Northern,M,75 +,"5,485","1,834",33.44
01/01/2013 12:00:00 AM,Unknown,F,35 to 44,"5,152",68,1.32
01/01/2013 12:00:00 AM,Unknown,F,45 to 54,"4,904",275,5.61
01/01/2013 12:00:00 AM,Unknown,F,55 to 64,"4,130",411,9.95
01/01/2013 12:00:00 AM,Unknown,F,65 to 74,"2,710",407,15.02
01/01/2013 12:00:00 AM,Unknown,F,75 +,"2,187",508,23.23
01/01/2013 12:00:00 AM,Unknown,M,35 to 44,"4,856",55,1.13
01/01/2013 12:00:00 AM,Unknown,M,45 to 54,"4,755",201,4.23
01/01/2013 12:00:00 AM,Unknown,M,55 to 64,"3,719",331,8.9
01/01/2013 12:00:00 AM,Unknown,M,65 to 74,"2,459",371,15.09
01/01/2013 12:00:00 AM,Unknown,M,75 +,"1,561",395,25.3
01/01/2013 12:00:00 AM,Western,F,35 to 44,"12,203",267,2.19
01/01/2013 12:00:00 AM,Western,F,45 to 54,"16,855","1,391",8.25
01/01/2013 12:00:00 AM,Western,F,55 to 64,"17,146","2,276",13.27
01/01/2013 12:00:00 AM,Western,F,65 to 74,"12,813","2,316",18.08
01/01/2013 12:00:00 AM,Western,F,75 +,"11,412","2,643",23.16
01/01/2013 12:00:00 AM,Western,M,35 to 44,"11,803",240,2.03
01/01/2013 12:00:00 AM,Western,M,45 to 54,"16,213","1,169",7.21
01/01/2013 12:00:00 AM,Western,M,55 to 64,"16,716","2,216",13.26
01/01/2013 12:00:00 AM,Western,M,65 to 74,"12,436","2,478",19.93
01/01/2013 12:00:00 AM,Western,M,75 +,"8,322","2,510",30.16
01/01/2014 12:00:00 AM,Central,F,35 to 44,"31,539",589,1.87
01/01/2014 12:00:00 AM,Central,F,45 to 54,"34,521","2,537",7.35
01/01/2014 12:00:00 AM,Central,F,55 to 64,"30,231","4,301",14.23
01/01/2014 12:00:00 AM,Central,F,65 to 74,"20,160","4,435",22
01/01/2014 12:00:00 AM,Central,F,75 +,"16,628","4,608",27.71
01/01/2014 12:00:00 AM,Central,M,35 to 44,"29,425",409,1.39
01/01/2014 12:00:00 AM,Central,M,45 to 54,"33,194","1,990",6
01/01/2014 12:00:00 AM,Central,M,55 to 64,"28,680","3,604",12.57
01/01/2014 12:00:00 AM,Central,M,65 to 74,"18,492","3,887",21.02
01/01/2014 12:00:00 AM,Central,M,75 +,"11,409","3,591",31.48
01/01/2014 12:00:00 AM,Eastern,F,35 to 44,"9,526",328,3.44
01/01/2014 12:00:00 AM,Eastern,F,45 to 54,"12,377","1,381",11.16
01/01/2014 12:00:00 AM,Eastern,F,55 to 64,"13,967","2,493",17.85
