Year,Zone,Sex,Age Group,Population,Hypertension Count,Prevalence Rate %
01/01/2002 12:00:00 AM,Unknown,F,50 to 59,"4,964","1,269",25.56
01/01/2002 12:00:00 AM,Unknown,F,60 to 69,"2,895","1,258",43.45
01/01/2002 12:00:00 AM,Unknown,F,70 to 79,"2,091","1,279",61.17
01/01/2002 12:00:00 AM,Unknown,F,80 +,"1,647","1,136",68.97
01/01/2002 12:00:00 AM,Unknown,M,20 to 29,"11,909",119,1
01/01/2002 12:00:00 AM,Unknown,M,30 to 39,"8,812",344,3.9
01/01/2002 12:00:00 AM,Unknown,M,40 to 49,"6,876",686,9.98
01/01/2002 12:00:00 AM,Unknown,M,50 to 59,"4,662","1,101",23.62
01/01/2002 12:00:00 AM,Unknown,M,60 to 69,"2,790","1,072",38.42
01/01/2002 12:00:00 AM,Unknown,M,70 to 79,"1,547",779,50.36
01/01/2002 12:00:00 AM,Unknown,M,80 +,808,461,57.05
01/01/2002 12:00:00 AM,Western,F,20 to 29,"9,945",217,2.18
01/01/2002 12:00:00 AM,Western,F,30 to 39,"13,432",811,6.04
01/01/2002 12:00:00 AM,Western,F,40 to 49,"16,952","2,204",13
01/01/2002 12:00:00 AM,Western,F,50 to 59,"14,674","4,577",31.19
01/01/2002 12:00:00 AM,Western,F,60 to 69,"9,925","4,792",48.28
01/01/2002 12:00:00 AM,Western,F,70 to 79,"7,587","4,798",63.24
01/01/2002 12:00:00 AM,Western,F,80 +,"6,292","4,232",67.26
01/01/2002 12:00:00 AM,Western,M,20 to 29,"9,871",134,1.36
01/01/2002 12:00:00 AM,Western,M,30 to 39,"12,969",659,5.08
01/01/2002 12:00:00 AM,Western,M,40 to 49,"16,389","2,007",12.25
01/01/2002 12:00:00 AM,Western,M,50 to 59,"14,601","3,856",26.41
01/01/2002 12:00:00 AM,Western,M,60 to 69,"9,894","4,061",41.05
01/01/2002 12:00:00 AM,Western,M,70 to 79,"6,480","3,417",52.73
01/01/2002 12:00:00 AM,Western,M,80 +,"3,627","2,018",55.64
01/01/2003 12:00:00 AM,Central,F,20 to 29,"24,009",343,1.43
01/01/2003 12:00:00 AM,Central,F,30 to 39,"28,577","1,556",5.44
01/01/2003 12:00:00 AM,Central,F,40 to 49,"32,038","4,156",12.97
01/01/2003 12:00:00 AM,Central,F,50 to 59,"24,468","7,302",29.84
01/01/2003 12:00:00 AM,Central,F,60 to 69,"14,963","7,725",51.63
01/01/2003 12:00:00 AM,Central,F,70 to 79,"11,307","7,677",67.9
01/01/2003 12:00:00 AM,Central,F,80 +,"8,796","6,467",73.52
01/01/2003 12:00:00 AM,Central,M,20 to 29,"23,124",318,1.38
01/01/2003 12:00:00 AM,Central,M,30 to 39,"25,977","1,285",4.95
01/01/2003 12:00:00 AM,Central,M,40 to 49,"30,228","3,770",12.47
01/01/2003 12:00:00 AM,Central,M,50 to 59,"23,194","6,511",28.07
01/01/2003 12:00:00 AM,Central,M,60 to 69,"14,068","6,521",46.35
01/01/2003 12:00:00 AM,Central,M,70 to 79,"8,821","5,434",61.6
01/01/2003 12:00:00 AM,Central,M,80 +,"4,392","2,816",64.12
01/01/2003 12:00:00 AM,Eastern,F,20 to 29,"8,227",194,2.36
01/01/2003 12:00:00 AM,Eastern,F,30 to 39,"10,105",780,7.72
