Year,Zone,Sex,Age Group,Population,Prevalence,Crude Prevalence Rate
01/01/2001 12:00:00 AM,Eastern,F,60 to 69,"8,076",457,5.66
01/01/2001 12:00:00 AM,Eastern,F,70 to 79,"6,309",346,5.48
01/01/2001 12:00:00 AM,Eastern,F,80 +,"5,382",259,4.81
01/01/2001 12:00:00 AM,Eastern,M,0 to 9,"8,269","1,214",14.68
01/01/2001 12:00:00 AM,Eastern,M,10 to 19,"8,846","1,217",13.76
01/01/2001 12:00:00 AM,Eastern,M,20 to 29,"8,334",397,4.76
01/01/2001 12:00:00 AM,Eastern,M,30 to 39,"10,551",292,2.77
01/01/2001 12:00:00 AM,Eastern,M,40 to 49,"13,608",376,2.76
01/01/2001 12:00:00 AM,Eastern,M,50 to 59,"12,161",374,3.08
01/01/2001 12:00:00 AM,Eastern,M,60 to 69,"7,872",266,3.38
01/01/2001 12:00:00 AM,Eastern,M,70 to 79,"5,139",224,4.36
01/01/2001 12:00:00 AM,Eastern,M,80 +,"2,734",108,3.95
01/01/2001 12:00:00 AM,Northern,F,0 to 9,"7,445",696,9.35
01/01/2001 12:00:00 AM,Northern,F,10 to 19,"7,629",905,11.86
01/01/2001 12:00:00 AM,Northern,F,20 to 29,"8,286",708,8.54
01/01/2001 12:00:00 AM,Northern,F,30 to 39,"10,577",656,6.2
01/01/2001 12:00:00 AM,Northern,F,40 to 49,"12,314",804,6.53
01/01/2001 12:00:00 AM,Northern,F,50 to 59,"10,070",673,6.68
01/01/2001 12:00:00 AM,Northern,F,60 to 69,"6,655",436,6.55
01/01/2001 12:00:00 AM,Northern,F,70 to 79,"5,511",324,5.88
01/01/2001 12:00:00 AM,Northern,F,80 +,"4,554",225,4.94
01/01/2001 12:00:00 AM,Northern,M,0 to 9,"8,114","1,111",13.69
01/01/2001 12:00:00 AM,Northern,M,10 to 19,"8,125","1,089",13.4
01/01/2001 12:00:00 AM,Northern,M,20 to 29,"8,113",409,5.04
01/01/2001 12:00:00 AM,Northern,M,30 to 39,"10,363",346,3.34
01/01/2001 12:00:00 AM,Northern,M,40 to 49,"12,008",395,3.29
01/01/2001 12:00:00 AM,Northern,M,50 to 59,"10,388",332,3.2
01/01/2001 12:00:00 AM,Northern,M,60 to 69,"6,522",218,3.34
01/01/2001 12:00:00 AM,Northern,M,70 to 79,"4,370",190,4.35
01/01/2001 12:00:00 AM,Northern,M,80 +,"2,323",115,4.95
01/01/2001 12:00:00 AM,Unknown,F,0 to 9,"7,809",707,9.05
01/01/2001 12:00:00 AM,Unknown,F,10 to 19,"13,819","1,571",11.37
01/01/2001 12:00:00 AM,Unknown,F,20 to 29,"12,168",884,7.26
01/01/2001 12:00:00 AM,Unknown,F,30 to 39,"9,849",561,5.7
01/01/2001 12:00:00 AM,Unknown,F,40 to 49,"7,224",438,6.06
01/01/2001 12:00:00 AM,Unknown,F,50 to 59,"4,862",312,6.42
01/01/2001 12:00:00 AM,Unknown,F,60 to 69,"2,846",176,6.18
01/01/2001 12:00:00 AM,Unknown,F,70 to 79,"2,208",124,5.62
01/01/2001 12:00:00 AM,Unknown,F,80 +,"1,638",79,4.82
01/01/2001 12:00:00 AM,Unknown,M,0 to 9,"7,752",980,12.64
01/01/2001 12:00:00 AM,Unknown,M,10 to 19,"13,808","1,846",13.37
01/01/2001 12:00:00 AM,Unknown,M,20 to 29,"12,169",574,4.72
01/01/2001 12:00:00 AM,Unknown,M,30 to 39,"9,012",253,2.81
01/01/2001 12:00:00 AM,Unknown,M,40 to 49,"6,831",190,2.78
01/01/2001 12:00:00 AM,Unknown,M,50 to 59,"4,661",138,2.96
01/01/2001 12:00:00 AM,Unknown,M,60 to 69,"2,751",118,4.29
